"BIBLIOGRAFIA";"AUTOR";"TITULO";"FECHA";"CRITERIO";"BLOQUE";"MEDIO";"SOPORTE";"TEMA";"PAIS";"ZONA";"TIPOLOGIA";"NOTAS";"CONCORDANCIA";"Valida";"cuantificador"
"Mendoza, Mario: Satanás. Barcelona: Seix Barral, 2002.";"Mendoza, Mario";"Satanás";2002;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Colombia";"Caribe continental";"Ficción";;"acabar mi vida aquí, en la absoluta quietud de mi cabaña. Ah sí, soy un gran delincuente. ¿Y qué? Más adelante, Andrés vuelve a detenerse: ¿Qué me ha dejado esto? Una completa derrota, enemigos y nada más. La mala suerte me persigue incesantemente desde que vivo; cuanto más avanzo tanto más me hundo. El exilio y la soledad como única posibilidad de mantener intacta la dignidad personal. Un Mesías sin rebaño, sin discípulos ni muchedumbres que lo admiren y lo aplaudan. Tarde o temprano el artista renuncia y se aleja para reencontrar aquella parte de sí que la sociedad le impide apreciar y reconocer";"si";"cuanto"
"Bucay, Jorge: El camino de la autodependencia. Barcelona: Grijalbo, 2002.";"Bucay, Jorge";"El camino de la autodependencia";2002;"Primera edición";"No ficción";"Escrito";"Libro";"Ciencias sociales, creencias y pensamiento";"Argentina";"Río de la Plata";;;"Aprendimos de su mano que esta contradicción quizás esté allí para indicar que ambas cosas suceden al mismo tiempo, porque uno conoce y ama al mismo tiempo, y cuanto más conoce más ama y cuanto más ama más puede conocer. Dicho de otra manera, no puedo amar algo que no conozco y no puedo conocer algo que no amo.";"si";"cuanto"
"Bucay, Jorge: El camino de la autodependencia. Barcelona: Grijalbo, 2002.";"Bucay, Jorge";"El camino de la autodependencia";2002;"Primera edición";"No ficción";"Escrito";"Libro";"Ciencias sociales, creencias y pensamiento";"Argentina";"Río de la Plata";;;"Aprendimos de su mano que esta contradicción quizás esté allí para indicar que ambas cosas suceden al mismo tiempo, porque uno conoce y ama al mismo tiempo, y cuanto más conoce más ama y cuanto más ama más puede conocer. Dicho de otra manera, no puedo amar algo que no conozco y no puedo conocer algo que no amo.";"si";"cuanto"
"Casavella, Francisco: Los juegos feroces. Barcelona: Mondadori, 2002.";"Casavella, Francisco";"Los juegos feroces";2002;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"España";;"Ficción";;"cruza una calle, que no se ha ido porque le han visto por aquí y le han visto por allá. Pero luego preguntan y de fijo nadie lo ha visto. A mí me han hecho el encargo de que os buscara. Aquí estáis. Así que ahora nos lo tomamos con suavidad y luego subimos. Cuanto más tardéis en subir, más vais a tardar en pillar. Y yo descanso. Que anoche fue sábado y anduvimos hasta las tantas vacilando por ahí.";"si";"cuanto"
"Casavella, Francisco: Los juegos feroces. Barcelona: Mondadori, 2002.";"Casavella, Francisco";"Los juegos feroces";2002;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"España";;"Ficción";;"Celso, dile que ha dicho la Francesa que tú y tu madre sois agua del río. ¿Me has entendido bien, pequeño? Agua del río. -Quise irme, pero me cogió de un brazo-: Pero lo tienes que decir cuando ya no te quede más remedio. Cuanto más oigas y veas, más sabrán ellos que sabes, más te respetarán y más provecho sacarás de la situación. Tienes que volver buena una situación mala, ¿no es verdad?";"si";"cuanto"
"Chacón, Dulce: La voz dormida. Madrid: Alfaguara, 2002.";"Chacón, Dulce";"La voz dormida";2002;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"España";;"Ficción";;"enfrente. Porque se le ve, clarito se le ve, hasta cuando se cruzan en la calle y él levanta el sombrero. La mira sin querer verla y sigue para alante sin pararse. La mira poco, para que el miedo no se le enrede en los ojos con el pestañeo. Y cuanto más pestañea, más se le enreda. Buenos días, Buenas tardes, eso es lo único que le sale en la voz. Y ella contesta Buenos días, Buenas tardes, señorito, aunque ya no sea su señorito y no sepa que le ha hecho un favor dejando de serlo. Ahora se gana la vida";"si";"cuanto"
"Miralles, Alberto: ¡Hay motín, compañeras!. Madrid: Fundamentos, 2002.";"Miralles, Alberto";"¡Hay motín, compañeras!";2002;"Primera edición";"Ficción";"Escrito";"Libro";"Teatro";"España";;"Ficción";;"Lucía.— ¿Pero qué dices? ¡Es un material de primera! Convincente. Cuanto más desbarren, más verosímil. ¿O es que esperabas encontrar aquí licenciadas en filosofía?";"si";"cuanto"
"Miralles, Alberto: ¡Hay motín, compañeras!. Madrid: Fundamentos, 2002.";"Miralles, Alberto";"¡Hay motín, compañeras!";2002;"Primera edición";"Ficción";"Escrito";"Libro";"Teatro";"España";;"Ficción";;"Helena.— Mal. Resistiremos mal. Pero cada minuto que ellos pierdan, lo ganamos nosotras. Cuanto más resistamos, más publicidad.";"si";"cuanto"
"Sampedro, José Luis: El mercado y la globalización. Madrid: Destino, 2002.";"Sampedro, José Luis";"El mercado y la globalización";2002;"Primera edición";"No ficción";"Escrito";"Libro";"Política, economía y justicia";"España";;;;"a) Cuanto más crece esta globalización más ganan los ricos y peor están los pobres, yb) Bastaría orientar el progreso técnico hacia el interés social pensando en todos para organizar otra globalización y otro mundo mejor, que es posible.";"si";"cuanto"
"Alborch, Carmen: Malas. Rivalidad y complicidad entre mujeres. Madrid: Aguilar, 2002.";"Alborch, Carmen";"Malas. Rivalidad y complicidad entre mujeres";2002;"Primera edición";"No ficción";"Escrito";"Libro";"Ciencias sociales, creencias y pensamiento";"España";;;;"de una queja que responde a una inquietante desazón interior. Nos sentimos culpables por demasiadas cosas, sufrimos chascos y decepciones, defraudadas sin que quien nos falla o nos exaspera lo haga a propósito. En ocasiones, esta percepción es más bien una consecuencia de expectativas desmesuradas, basadas en meras presunciones o en proyecciones. Cuanto más fantaseamos, más nos frustramos. Recordemos que el deseo está detrás de cada sentimiento. Cómo no, los desencuentros entre mujeres, sin importar cuál sea la razón que los provoque, han dado lugar a expresiones misóginas, dichos y latiguillos que responden a los estereotipos sociales acuñados a lo largo de los años. Lo fatal";"si";"cuanto"
"Moix, Terenci: El arpista ciego. Una fantasía del reinado de Tutankamón. Barcelona: Planeta, 2002.";"Moix, Terenci";"El arpista ciego. Una fantasía del reinado de Tutankamón";2002;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"España";;"Ficción";;"Pasaron los días, pero seguía sin poder apartar de sus tinieblas aquellos destellos de una luz inesperada. Cuanto más intentaba olvidarla, más le quemaba, y llegó a un punto en que incluso las caricias de la nodriza y aun las de su madre le provocaban una excitación singular, como si el tacto, al que siempre fue tan sensible, hubiese multiplicado sus potencias. Pero todo esto, lejos de alegrarle,";"si";"cuanto"
"Moix, Terenci: El arpista ciego. Una fantasía del reinado de Tutankamón. Barcelona: Planeta, 2002.";"Moix, Terenci";"El arpista ciego. Una fantasía del reinado de Tutankamón";2002;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"España";;"Ficción";;"Cuanto más intentaba alcanzarla más se escurría ella, con movimientos tan ágiles como los de una serpiente niña que estuviese aprendiendo el arte de agradar, pese al peligro.";"si";"cuanto"
