"source"	"ID_sentence"	"date"	"url"	"sentence"	"cor_manual"	"Cita_traducción"	"Interrumpida"	"Introductor"	"Comparativos"	"Modificados"	"Función_Scomp_prótasis"	"Función_Scomp_apódosis"	"SV_prótasis"	"SV_apódosis"	"Tiempo_verbal_prótasis"	"Tiempo_verbal_apódosis"	"Modo_verbal_prótasis"	"Modo_verbal_apódosis"	"Marco_sintáctico_oración"	"Interpretación_tanto_tanto"
"El País"	"6251_9"	"2016-07-03"	"https://elpais.com/deportes/2016/07/03/actualidad/1467539190_133786.html"	"más se prolonga la agonía, más pueden los entrenadores excusar el resultado y eludir la incompetencia."	"amonesca"	"no"	"no"	"NA"	"más_más"	"V_V"	"CC"	"CC"	"VS"	"VS"	"presente"	"presente"	"indicativo"	"indicativo"	"principal"	"NA"
"El País"	"6447_2"	"2016-06-15"	"https://elpais.com/internacional/2016/06/15/actualidad/1466005513_443609.html"	"más lejos está turquía de los estándares comunitarios —libertad de expresión, presos políticos, islamización—, más cerca se encuentra de incorporarse al sindiós comunitario."	"amonesca"	"no"	"no"	"NA"	"más_más"	"Adv_Adv"	"CC"	"CC"	"VS"	"V_"	"presente"	"presente"	"indicativo"	"indicativo"	"principal"	"NA"
"El País"	"6783_2"	"2016-05-16"	"https://elpais.com/cultura/2016/05/16/recondita_armonia/1463385600_146338.html"	"tanto se ha ´´acercado´´ la celebración, tanto se ha alejado el misterio."	"amonesca"	"no"	"no"	"NA"	"tanto_tanto"	"V_V"	"CC"	"CC"	"VS"	"VS"	"pretérito perfecto compuesto"	"pretérito perfecto compuesto"	"indicativo"	"indicativo"	"principal"	"dinámica"
"El País"	"6934_2"	"2016-04-25"	"https://elpais.com/politica/2016/04/25/actualidad/1461577820_246509.html"	"tanto rajoy ejercía su proverbial dontancredismo, tanto sánchez braceaba y braceaba en todas las direcciones para mantenerse a flote."	"amonesca"	"no"	"no"	"NA"	"tanto_tanto"	"V_V"	"CC"	"CC"	"SV"	"SV"	"imperfecto"	"imperfecto"	"indicativo"	"indicativo"	"principal"	"dinámica"
"El País"	"7091_2"	"2016-04-05"	"https://elpais.com/politica/2016/04/05/actualidad/1459870152_710090.html"	"tanto ejercía la caridad y la filantropía en los rastrillos de nuevo futuro, tanto hacía lo contrario en la clandestinidad de delantera financiera, cuya posición delicada en el inventario de los panama papers la ha creado la propia hermana del rey emérito, disolviendo de urgencia la sociedad offshore el mismo día de la abdicación de juan carlos i."	"amonesca"	"no"	"no"	"NA"	"tanto_tanto"	"V_V"	"CC"	"CC"	"V_"	"V_"	"imperfecto"	"imperfecto"	"indicativo"	"indicativo"	"principal"	"dinámica"
"El País"	"7181_2"	"2016-03-17"	"https://elpais.com/internacional/2016/03/17/actualidad/1458231254_530039.html"	"tanto turquía se aleja de los estándares democráticos, tanto la unión europea se aviene a confortarla."	"amonesca"	"no"	"no"	"NA"	"tanto_tanto"	"V_V"	"CC"	"CC"	"SV"	"SV"	"presente"	"presente"	"indicativo"	"indicativo"	"principal"	"dinámica"
"El País"	"7486_2"	"2016-02-08"	"https://elpais.com/politica/2016/02/08/actualidad/1454932774_830534.html"	"tanto se le reprochan argumentos estrafalarios —ayatolás, leninistas, comecuras, proetarras— tanto perseveran iglesias y sus compañeros en el camino de la demagogia, del populismo y hasta del peronismo, esencia de un partido mutante que se adapta mejor que ningún otro en el hábitat de la sociedad."	"amonesca"	"no"	"no"	"NA"	"tanto_tanto"	"V_V"	"CC"	"CC"	"VS"	"VS"	"presente"	"presente"	"indicativo"	"indicativo"	"principal"	"dinámica"
"El País"	"7760_1"	"2015-12-24"	"https://elpais.com/cultura/2015/12/24/recondita_armonia/1450945190_145094.html"	"tanto se utiliza sin criterio el adjetivo “histórico”, tanto resulta hueco aplicárselo a quienes se lo merecen."	"amonesca"	"no"	"no"	"NA"	"tanto_tanto"	"V_V/Adj"	"CC"	"CC/Ptvo"	"VS"	"VS"	"presente"	"presente"	"indicativo"	"indicativo"	"principal"	"dinámica"
"El País"	"7803_3"	"2015-12-20"	"https://elpais.com/politica/2015/12/18/actualidad/1450436583_896208.html"	"tanto se zarandeaban entre ellos iglesias, rivera y sánchez, tanto relucía en el pecho la medalla de oro del campeón."	"amonesca"	"no"	"no"	"NA"	"tanto_tanto"	"V_V"	"CC"	"CC"	"VS"	"VS"	"imperfecto"	"imperfecto"	"indicativo"	"indicativo"	"principal"	"dinámica"
"El País"	"8116_1"	"2015-11-16"	"https://elpais.com/internacional/2015/11/16/actualidad/1447698190_589064.html"	"tanto critica sarkozy la política exterior de hollande y la inseguridad que amenaza e los franceses, tanto parece haber olvidado su máxima responsabilidad como ministro de interior -prácticamente de 2002 a 2007- y los superpoderes que ejerció en su quinquenio como jefe del estado (2007-2012), consolidando una vinculación consecutiva de 17 años entre el palacio del elíseo y la derecha francesa."	"amonesca"	"no"	"no"	"NA"	"tanto_tanto"	"V_V"	"CC"	"CC"	"VS"	"V_"	"presente"	"presente"	"indicativo"	"indicativo"	"principal"	"dinámica"
